tp_grau_academico,co_curso,enade_faixa,cpc_faixa
licenciatura,1327517,2,2
licenciatura,38283,2,2
bacharelado,1118130,1,2
licenciatura,16680,4,3
licenciatura,43020,3,3
licenciatura,63455,3,3
licenciatura,99617,3,3
licenciatura,63888,4,3
licenciatura,64566,3,3
licenciatura,1081911,4,3
bacharelado,1081931,4,4
licenciatura,1101658,3,3
bacharelado,1172159,3,3
licenciatura,1349108,4,4
licenciatura,19264,4,4
bacharelado,61592,4,4
licenciatura,1188396,4,4
licenciatura,58180,2,3
bacharelado,1212462,2,3
bacharelado,20307,3,3
licenciatura,1146775,3,3
licenciatura,89472,4,3
licenciatura,5000139,3,3
licenciatura,5000802,3,3
licenciatura,3492,2,2
bacharelado,1214165,2,2
licenciatura,1330301,4,4
licenciatura,85402,3,3
licenciatura,1126886,3,3
licenciatura,1313158,3,4
licenciatura,67603,3,3
licenciatura,1300180,4,4
licenciatura,1316021,3,3
licenciatura,116944,5,4
bacharelado,416944,5,4
bacharelado,1118111,4,4
licenciatura,1128498,4,4
bacharelado,1350324,2,3
licenciatura,1102959,3,3
licenciatura,121393,3,4
licenciatura,1313167,4,3
licenciatura,74082,2,2
bacharelado,1353996,2,2
licenciatura,98612,3,4
licenciatura,1107084,3,4
licenciatura,16158,2,3
licenciatura,2525,3,4
bacharelado,302525,4,4
bacharelado,1453490,2,3
licenciatura,43086,2,3
licenciatura,14125,3,4
licenciatura,14132,3,4
bacharelado,1113009,3,3
licenciatura,1103708,3,4
bacharelado,1103709,4,4
bacharelado,27858,4,4
licenciatura,44362,4,4
licenciatura,1138346,4,4
licenciatura,326,4,4
licenciatura,380,3,3
licenciatura,496,3,3
licenciatura,595,3,4
bacharelado,300595,4,5
licenciatura,99189,4,4
bacharelado,399189,4,4
licenciatura,779,5,4
licenciatura,1453,4,4
bacharelado,301453,4,4
licenciatura,2108,2,3
licenciatura,2197,3,3
bacharelado,302197,3,3
licenciatura,1268556,3,4
licenciatura,41848,5,4
bacharelado,41849,5,4
licenciatura,3168,3,3
bacharelado,303168,5,5
licenciatura,21625,5,4
licenciatura,49756,3,3
licenciatura,64518,2,3
licenciatura,20530,2,3
bacharelado,320530,2,3
licenciatura,4194,4,4
bacharelado,304194,4,4
licenciatura,7828,2,3
licenciatura,11301,4,4
bacharelado,311301,3,3
licenciatura,11431,3,4
licenciatura,115686,3,3
licenciatura,82605,3,3
licenciatura,1404094,3,2
bacharelado,12321,4,4
licenciatura,312321,3,3
licenciatura,49472,4,4
bacharelado,312578,4,4
licenciatura,108644,4,4
bacharelado,408644,4,4
bacharelado,12834,4,4
licenciatura,312834,4,4
licenciatura,117128,4,4
licenciatura,12962,5,4
bacharelado,312962,5,4
licenciatura,13097,4,3
bacharelado,313097,4,4
licenciatura,13209,2,3
licenciatura,13303,4,3
bacharelado,313303,4,3
licenciatura,13409,3,3
bacharelado,313409,4,3
licenciatura,13577,4,3
bacharelado,313577,4,3
bacharelado,45024,4,4
licenciatura,45025,4,4
licenciatura,13839,3,4
bacharelado,121602,3,4
licenciatura,37274,4,4
bacharelado,337274,4,3
licenciatura,14110,3,4
licenciatura,121934,2,3
bacharelado,314110,4,4
bacharelado,5001248,4,3
licenciatura,14228,4,4
bacharelado,314228,4,4
licenciatura,14346,4,4
bacharelado,314346,4,4
bacharelado,401276,3,4
licenciatura,1105404,4,4
licenciatura,150125,4,4
licenciatura,14985,3,3
bacharelado,102308,4,3
bacharelado,1158382,2,3
licenciatura,1454631,2,3
licenciatura,1146611,3,4
bacharelado,1101762,5,4
licenciatura,1101763,5,4
licenciatura,1111969,3,4
licenciatura,116732,4,4
licenciatura,1425301,1,3
licenciatura,1268558,2,3
licenciatura,1321322,2,3
licenciatura,49701,4,4
bacharelado,121366,2,3
licenciatura,121367,3,4
licenciatura,1100877,2,4
licenciatura,1135224,3,4
bacharelado,1103021,5,5
